Field,Abstract
the formation of holograms is interpreted as the consequence of the bilinearity of the ambiguity function reconstruction can then be regarded as the manipulation of the ambiguity function specifically we show that in the case of in line holography the reconstruction can be regarded as phase tomography in this way we provide a unified picture for the formulation of both noninterferometric and interferometric phase retrieval techniques author,Physics
a stack of plastic nuclear track detectors was exposed to heavy cosmic rays on the pallet of spacelab 1 some layers of the stack were rotated with respect to the main stack to determine the arrival time of the particles after return of the stack the latent particle tracks are revealed by chemical etching under the optical microscope the charge mass energy and impact direction of the particles can be deduced from the track geometry author,Physics
the effect of simulated nimbus spacecraft orbital 1100 km circular and polar radiation on wide band pass glass filters narrow bandpass thin film interference filters and several fused silicas was determined by transmittance measurements over the 200 3400 nm wavelength region no changes were observed in the filters which were shielded with fused silica during irradiation after exposure to a 1 yr equivalent orbital dose of electrons nor were changes observed in the fused silicas after the same electron exposure plus a 1 yr equivalent dose of protons exposure to a 1 2 yr equivalent dose of solar uv radiation however caused a significant degradation in the transmittance of two uv transmitting interference filters but had no effect on two colored glass filters that transmitted in the visible and near ir regions as a result of the uv exposure the fused silicas exhibited losses of several percent over the 200 300 nm wavelength region author,Physics
cultured endothelial cells of blood vessels have a do of 2 gy for x rays a dose of 0 5 gy of x rays has an acute effect on vessel diameter the vessels may show other acute effects such as change in permeability including a change in the blood brain barrier changes occurring from late effects of chronic exposure in vascular architecture include telangiectasia and decrease in vascular density changes in the perivascular connective tissue particularly collagen may play a role in these changes after charged particle exposure of 15 and 30 gy radiation changes in the blood brain barrier and vascular changes are noted in the nervous system these long term changes are recorded by pet mri and ct imaging chronic exposure to alpha particles causes vascular damage in compact bone resulting in bone infarcts using tandem scanning confocal microscopy in situ imaging of the capillaries and collagen of the papillary dermis provides a non invasive method of serial recording of changes in irradiated microvasculature author,Physics
confocal scanning laser microscopy has been used to quantitatively analyze the structure and dynamics of concentrated suspensions of spherical colloids in which the magnitude of the short range attractive potential is increased by adding nonadsorbing polymers these systems undergo a reentrant glass transition upon increasing polymer concentration we find that melting of the glass is accompanied by significant changes in the displacement distribution and its moments however no significant variations have been detected in the shapes of the displacement distributions moreover structural correlation functions and the magnitude of local density fluctuations do not vary significantly between the glass states and the fluid considering our experimental setup these observations imply that local density fluctuations cannot be larger than a few percent of the average density author,Physics
we use ultrasonic attenuation and light scattering to study spatial correlations in the pores of vycor on filling and draining with hexane on filling the hexane initially adsorbs uniformly but when capillary condensation occurs vapor microbubbles are formed and persist until the sample is completely full however no long range correlations of the bubbles are observed by contrast on drainage the empty pores exhibit long range correlations with a fractal dimension of 2 6 this results from the pore connectivity suggesting that this behavior can be modeled by invasion percolation author,Physics
the dewitt schwinger proper time point splitting procedure is applied to a massive complex scalar field with arbitrary curvature coupling interacting with a classical electromagnetic field in a general curved spacetime the scalar field current is found to have a linear divergence the presence of the external background gauge field is found to modify the stress energy tensor results of christensen for the neutral scalar field by adding terms of the form ef 2 to the logarithmic counterterms these results are shown to be expected from an analysis of the degree of divergence of scalar quantum electrodynamics author,Physics
images directly visualizing the spatial spin diffusion process are reported the measurements were performed using a magnetic resonance force microscope the field gradient associated with the force detection experiment is large enough to affect the spin dynamics and a modified kinetics of the spin diffusion process is observed the effects of the gradient were compensated for by a pulse scheme and a pure zeeman diffusion rate constant of d 6 2 0 7 x10,Physics
plasma turbulence in a simple magnetized torus smt is explored for the first time with three dimensional global fluid simulations three turbulence regimes are described an ideal interchange mode regime a previously undiscovered resistive interchange mode regime and a drift wave regime as the pitch of the field lines is decreased the simulations exhibit a transition from the first regime to the second while the third the drift wave regime is likely accessible to the experiments only at very low collisionalities author,Physics
in a 2n 1 dimensional theory the parity violating part of the vacuum current induced by classical non abelian background gauge fields is determined and the corresponding effective action for the gauge field is derived it turns out to be given for all n by the chern simons topological invariant the zeta function method is used to regularize the vacuum current author,Physics
the growth and development of more than 500 zea mays seeds flown on ldef were studied somatic mutations including white yellow stripes on leaves dwarfing change of leaf sheath color or seedling color were observed in plants developed from these seeds when the frequency of white yellow formation was used as the endpoint and compared with data from ground based studies the dose to which maize seeds might be exposed during the flight was estimated to be equivalent to 635 cgy of gamma rays seeds from one particular holder gave a high mutation frequency and a wide mutation spectrum white yellow stripes on leaves were also found in some of the inbred progenies from plants displayed somatic mutation electron microscopy studies showed that the damage of chloroplast development in the white yellow stripe on leaves was similar between seeds flown on ldef and that irradiated by accelerated heavy ions on ground author,Physics
we consider the einstein gravitational field equations coupled to the expectation value of the stress tensor in a real scalar field theory with arbitrary mass and coupling to curvature we consider small oscillations of the metric and linearize the response of the quantum wave functional and the stress tensor expectation value in a small time approximation we find unstable oscillations for a minimally coupled field and stable oscillations in the case of conformal coupling author,Physics
the heavy ion mass spectrum obtained in the inner coma of comet halley with the picca instrument on the giotto spacecraft has been examined short polymer chains of polyoxymethylene and their decay products are identified as the source for the spectrum with six mass peaks between about 45 and 120 atomic mass units the properties of polyoxymethylene are consistent with many of the unexpected observations in the coma author,Physics
we present a method for studying the movement of electrons and energy within and between electronically excited molecules the dynamically changing state is a many electron wavepacket for which we numerically integrate the schrodinger equation using the adc 2 effective hamiltonian for the particle hole propagator we develop the tools necessary for following the separate motions of the particles and holes total particle and hole densities can be used to give an overview of the dynamics which can be atomically decomposed in a mulliken fashion or individual particle and hole states give a more detailed look at the structure of an excitation we apply our model to a neon chain as an illustrative example projecting an excited eigenstate of an isolated atom onto the coupled system as the initial state in addition to demonstrating our propagation and analysis machinery the results show a dramatic difference in excitation energy transfer rates as a consequence of initial polarization furthermore already in a system with three constituents an important aspect of multiple coupled systems appears in that one absorbing system essentially shields another changing the effective sitewise coupling parameters author,Physics
owing to the low gravity conditions in space space borne laboratories enable experiments with extended free fall times because boseeinstein condensates have an extremely low expansion energy space borne atom interferometers based on boseeinstein condensation have the potential to have much greater sensitivity to inertial forces than do similar ground based interferometers on 23 january 2017 as part of the sounding rocket mission maius 1 we created boseeinstein condensates in space and conducted 110 experiments central to matter wave interferometry including laser cooling and trapping of atoms in the presence of the large accelerations experienced during launch here we report on experiments conducted during the six minutes of in space flight in which we studied the phase transition from a thermal ensemble to a boseeinstein condensate and the collective dynamics of the resulting condensate our results provide insights into conducting cold atom experiments in space such as precision interferometry and pave the way to miniaturizing cold atom and photon based quantum information concepts for satellite based implementation in addition space borne boseeinstein condensation opens up the possibility of quantum gas experiments in low gravity conditions1 2 a boseeinstein condensate is created in space that has sufficient stability to enable its characteristic dynamics to be studied author,Physics
we demonstrate the use of phase space imaging for 3d localization of multiple point sources inside scattering material the effect of scattering is to spread angular spatial frequency information which can be measured by phase space imaging we derive a multi slice forward model for homogenous volumetric scattering then develop a reconstruction algorithm that exploits sparsity in order to further constrain the problem by using 4d measurements for 3d reconstruction the dimensionality mismatch provides significant robustness to multiple scattering with either static or dynamic diffusers experimentally our high resolution 4d phase space data is collected by a spectrogram setup with results successfully recovering the 3d positions of multiple leds embedded in turbid scattering media author,Physics
evaluating the dis similarity of crystalline disordered and molecular compounds is a critical step in the development of algorithms to navigate automatically the configuration space of complex materials for instance a structural similarity metric is crucial for classifying structures searching chemical space for better compounds and materials and driving the next generation of machine learning techniques for predicting the stability and properties of molecules and materials in the last few years several strategies have been designed to compare atomic coordination environments in particular the smooth overlap of atomic positions soaps has emerged as an elegant framework to obtain translation rotation and permutation invariant descriptors of groups of atoms underlying the development of various classes of machine learned inter atomic potentials here we discuss how one can combine such local descriptors using a regularized entropy match rematch approach to describe the similarity of both whole molecular and bulk periodic structures introducing powerful metrics that enable the navigation of alchemical and structural complexities within a unified framework furthermore using this kernel and a ridge regression method we can predict atomization energies for a database of small organic molecules with a mean absolute error below 1 kcal mol 1 reaching an important milestone in the application of machine learning techniques for the evaluation of molecular properties author,Physics
spin systems with frustration and disorder are notoriously difficult to study both analytically and numerically while the simulation of ferromagnetic statistical mechanical models benefits greatly from cluster algorithms these accelerated dynamics methods remain elusive for generic spin glass like systems here we present a cluster algorithm for ising spin glasses that works in any space dimension and speeds up thermalization by at least one order of magnitude at temperatures where thermalization is typically difficult our isoenergetic cluster moves are based on the houdayer cluster algorithm for two dimensional spin glasses and lead to a speedup over conventional state of the art methods that increases with the system size we illustrate the benefits of the isoenergetic cluster moves in two and three space dimensions as well as the nonplanar chimera topology found in the d wave inc quantum annealing machine author,Physics
long distance quantum channels capable of transferring quantum states faithfully for unconditionally secure quantum communication have been so far confirmed to be feasible in both fiber and free space air however it remains unclear whether seawater which covers more than 70 of the earth can also be utilized leaving global quantum communication incomplete here we experimentally demonstrate that polarization quantum states including general qubits of single photon and entangled states can survive well after travelling through seawater we perform experiments with seawater collected over a range of 36 kilometers in the yellow sea for single photons at 405 nm in a blue green window we obtain an average process fidelity above 98 for entangled photons at 810nm albeit very high loss we observe the violation of bell inequality with 33 standard deviations our results confirm the feasibility of a seawater quantum channel representing the first step towards underwater quantum communication author,Physics
the vacuum stress energy tensor of a quantized conformal scalar field is examined for several candidate vacuum states in a two dimensional asymptotically de sitter space around a collapsing star the vacuum stress energy is shown to diverge on the future black hole event horizon if the vacuum state is chosen so that the stress energy is regular on the cosmological horizons it does not appear possible to find a quantum vacuum state whose stress energy is nondivergent on both the cosmological event horizons and the future black hole event horizon author,Physics
on 15 september 2000 in washington dc the multilateral coordination board mcb the highest level cooperative body established by the memoranda of understanding mous pertaining to the international space station iss programme signed early in 1998 by nasa and each of the cooperating agencies designated by the other iss partners i e the russian space agency esa the government of japan and the canadian space agency approved the code of conduct for international space station crews this document contains a set of standards agreed by all partners to govern the conduct of iss crew members starting with the first expedition crew launched from baikonur in kazakhstan on 31 october 2000 these standards had been developed over the previous six months by teams of agency officials working in close consultation with the competent authorities of the partner states author,Physics
a system of computer codes based on phase space evolution is developed and applied to low energy therapeutic electron beams monte carlo egs4 is used to pre calculate the electron transport and dose deposition in a 0 5 cm width cubic voxel dose calculations at larger scales are computed from the pre calculated data using phase space evolution this approach has the theoretical accuracy of monte carlo with potentially significant speed gains resulting from the pre calculation this study demonstrates the accuracy of this technique while providing a preliminary assessment of the calculation time for a 4 3 mev electron beam in water with a 0 5 cm thick slab of either water homogeneous air or aluminum at 1 cm depth we observe differences relative to monte carlo of less than 3 along the central axis for a pencil beam for a 3 5 cm x 3 5 cm field we observe a maximum difference on the central axis of 4 in the build up region and less than 0 1 cm in the fall off region for all three phantoms calculation times are disappointing however there is high potential for their reduction to values comparable to or better than condensed history monte carlo while retaining clinically acceptable accuracy author,Physics
we show how to define gauge covariant coordinate transformations on a noncommuting space the construction uses the seiberg witten equation and generalizes similar results for commuting coordinates author,Physics
most available ultrasound imaging simulation methods are based on the spatial impulse response approach the execution speed of such a simulation is of the order of days for one heart sized frame using desktop computers for some applications the accuracy of such rigorous simulation approaches is not necessary this work outlines a much faster 3 d ultrasound imaging simulation approach that can be applied to tasks like simulating 3 d ultrasound images for speckle tracking the increased speed of the proposed simulation method is based primarily on the approximation that the point spread function is set to be spatially invariant which is a reasonably good approximation when using polar coordinates for simulating images from phased arrays with constant aperture ultrasound images are found as the convolution of the psf and an object of sparsely distributed scatterers the scatterers are passed through an anti aliasing filter before insertion into a regular beam space grid to reduce the bandwidth and significantly reduce the amount of data a comparison with the well established simulation software package field ii has been made a simulation of a cyst image using the same input object was found to be in the order of 7000 times slower than the presented method following these considerations the proposed simulation method can be a rapid and valuable tool for working with 3 d ultrasound imaging and in particular 3 d speckle tracking author,Physics
a random network is grown by introducing at unit rate randomly selected nodes on the euclidean space a node is randomly connected to its ith predecessor of degree k i with a directed link of length l using a probability proportional to k i l alpha our numerical study indicates that the network is scale free for all values of alpha gt alpha c and the degree distribution decays stretched exponentially for the other values of alpha the link length distribution follows a power law d l approximately l delta where delta is calculated exactly for the whole range of values of alpha author,Physics
in chaotic ionization of the classical s wave model of two electron atoms initial conditions of bound nonionizing trajectories form cantor sets in phase space the fractal dimensions of these sets are noninteger and increase with increasing nuclear charge i e with decreasing importance of the electron electron interaction author,Physics
in light of the importance of the neutron contribution to the dose equivalent received by space workers in the near earth radiation environment there is an increasing need for a personal dosimeter that is passive in nature and able to respond to this neutron field in real time recent canadian technology has led to the development of a bubble detector which is sensitive to neutrons but insensitive to low linear energy transfer let radiation by changing the composition of the bubble detector fluid or superheat the detectors can be fabricated to respond to different types of radiation this paper describes a preliminary ground based research effort to better characterize the bubble detectors of different compositions at various charged particle accelerator facilities which are capable of simulating the space radiation field author,Physics
the majumdar papapetrou solutions of the einstein maxwell equations are generalized to asymptotically flat n 1 dimensional space times these new solutions are then used to construct black hole solutions in which the extra dimensions are compactified on a torus conjectures about similar constructions for the vacuum einstein equations are also discussed author,Physics
in this paper we describe two new hybrid time and space integrating acoustooptic correlators and their use in spread spectrum applications these systems employ 1 d or 2 d masks and are of use for many spread spectrum coding schemes and very long codes synchronization and demodulation of very long codes are achieved in these systems with an infinite range delay search and with nearly the full processing gain of the code a statistical analysis of coherent and partially coherent output time integration is included this appears to be most appropriate for any hybrid processor together with initial simulation results author,Physics
in this letter we extend the well known space time duality to partially coherent wave fields and as a limit case to incoherent sources we show that there is a general analogy between the paraxial diffraction of quasi monochromatic beams of limited spatial coherence and the temporal distortion of partially coherent plane wave pulses in parabolic dispersive media next coherence dependent effects in the propagation of gaussian schell model pulses are retrieved from that of their spatial counterpart the gaussian schell model beam finally the last result allows us to present a source linewidth analysis in an optical fiber communication system operating around the 1 55 microm wavelength window author,Physics
the theoretical interpretation of the selection in a linear channel of the saffman taylor finger of width ensuremath,Physics
of such beams the way in which the orbital angular momentum of a beam of light may be analogous to the angular momentum of the harmonic oscillator as well as studies of the properties of their poynting vector 3 in addition the property has been shown to occur outside the paraxial approximation 4 experimental work has included the production of laguerre gaussian beams in the visible microwave and millimeter wave regimes 5 culminating for the moment at least with the direct qualitative observation of the transfer of orbital angular momentum to absorptive particles 6 author,Physics
we demonstrate beam deflection and multiple channel communication in free space optical communications using microprisms integrated directly onto an array of vertical cavity surface emitting lasers vcsels the design and fabrication of such a transmitter is presented and shown to achieve beam deflection of up to 10 degrees in a planar configuration a location discovery application for use within a distributed network is put forward and analysed author,Physics
interplay of kinematic and magnetic forcing in a model of a conducting fluid with randomly driven magnetohydrodynamic equations has been studied in space dimensions d gt or 2 by means of the renormalization group a perturbative expansion scheme parameters of which are the deviation of the spatial dimension from two and the deviation of the exponent of the powerlike correlation function of random forcing from its critical value has been used in one loop approximation additional divergences have been taken into account that arise at two dimensions and have been inconsistently treated in earlier investigations of the model it is shown that in spite of the additional divergences the kinetic fixed point associated with the kolmogorov scaling regime remains stable for all space dimensions d gt or 2 for rapidly enough falling off correlations of the magnetic forcing a scaling regime driven by thermal fluctuations of the velocity field has been identified and analyzed the absence of a scaling regime near two dimensions driven by the fluctuations of the magnetic field has been confirmed a renormalization scheme has been put forward and numerically investigated to interpolate between the epsilon expansion and the double expansion author,Physics
a method for solving wave propagation problems in bounded media that operates entirely in wave vector space is presented no boundary conditions are used in the solution in contrast to the real space method the transmission reflection problem of an electromagnetic wave on a dielectric half space is solved as an illustration of the method the dispersion relations of vacuum and medium snell s law the reflection angle law and the fresnel reflection transmission formulas are obtained from these procedures applications to wave vector dispersion problems where the method appears to be essential are pointed out author,Physics
we derive the equations of general relativistic spherical hydrodynamics in a lagrangian gauge subject to the condition of polar slicing of space time which gives both maximum coverage of material zones and stronger singularity avoidance than either synchronous may and white or maximally sliced coordinates we present a fully relativistic polar sliced implicit computer code g smcapsr smcapsip smcapso smcapss for lagrangian spherical hydrodynamics and present the results of computations of two test problems the approach to hydrostatic equilibrium of a near equilibrium initial configuration and the collapse of pressureless dust we compare our results to the known solutions of these two tests we also follow the collapse to a black hole of an equilibrium configuration after pressure reduction author,Physics
the health condition and work capacity of space travellers during many flights remained adequate medical examinations performed during and after space flights consistently revealed the following symptom complexes space motion sickness changes in the muscles system hemodynamics fluid electrolyte balance and its regulation calcium metabolism and bone density transient erythrocytopenia and immunity decline this paper presents a detailed discussion of the changes observed in space flight author,Physics
we study how weak broadband noise affects 30 36 ghz 10 ionization thresholds ital f 10 of ital n sub 0 54 72 h atoms calculations confirm that increased noise lowers ital f 10 for most ital n sub 0 s raises some but affects others little we show noise to be a useful spectroscopic tool for uncovering novel quantal phenomena such as scarred states which we link semiclassically to approximately adiabatic evolution near the separatrix of a nonlinear resonance island our results apply generally to the quantal behavior of classical mixed phase space systems author,Physics
an effective two body interaction is constructed from a new reid like ital nn potential for a large no core space consisting of six major shells and is used to generate the shell model properties for light nuclei from ital a 2 to 6 for practical reasons the model space is partially truncated for ital a 6 binding energies and other physical observables are calculated and they compare favorably with experiment author,Physics
an optimized leaf spring apparatus for applying uniaxial stress to a ge ga far infrared photoconductor has been designed and tested this design has significant advantages for space applications which require high quantum efficiency and stable operation over long periods of time the important features include adequate spring deflection with relatively small overall size torque free stress easy measurement of applied stress and a detector configuration with high responsivity one dimensional arrays of stressed photoconductors can be constructed using this design a peak responsivity of 38 a w is achieved in a detector with a cutoff wavelength of 200 microm which was operated at a temperature of 2 0 k and a bias voltage equal to one half of the breakdown voltage author,Physics
two general schemes for 1 d space variant processing are proposed the direct output display scheme gives the space variant system output along a line in the processor s output plane the output spectrum display scheme directly computes the space variant system s output spectrum both of these schemes utilize a 1 d input and a line spread function mask example applications and experimental results are also presented author,Physics
we experimentally demonstrate for the first time the focusing of optical beams within an inhomogeneous dielectric metamaterial with space variant polarizability implemented by etching subwavelength structures into a silicon slab light focusing is obtained by creating an artificial slab material with graded refractive index profile the local refractive index within the slab is modulated by controlling the duty cycle of the subwavelength structures the demonstrated metamaterial based component can be integrated with various other building blocks towards the realization of devices and systems in free space optics on a chip configuration author,Physics
significant progress has been made in recent years on the development of gravitational wave detectors sources such as coalescing compact binary systems neutron stars in low mass x ray binaries stellar collapses and pulsars are all possible candidates for detection the most promising design of gravitational wave detector uses test masses a long distance apart and freely suspended as pendulums on earth or in drag free spacecraft the main theme of this review is a discussion of the mechanical and optical principles used in the various long baseline systems in operation around the world ligo usa virgo italy france tama300 and lcgt japan and geo600 germany u k and in lisa a proposed space borne interferometer a review of recent science runs from the current generation of ground based detectors will be discussed in addition to highlighting the astrophysical results gained thus far looking to the future the major upgrades to ligo advanced ligo virgo advanced virgo lcgt and geo600 geo hf will be completed over the coming years which will create a network of detectors with the significantly improved sensitivity required to detect gravitational waves beyond this the concept and design of possible future third generation gravitational wave detectors such as the einstein telescope et will be discussed author,Physics
most diffraction tomography dt algorithms use a homogeneous green function gf regardless of the medium being imaged this choice is usually motivated by practical considerations analytic inversions in standard geometries cartesian spherical etc are significantly simplified by the use of a homogeneous gf estimating a nonhomogeneous gf can be very difficult as can incorporating a nonhomogeneous gf into standard dt algorithms devaney has circumvented these issues by developing a purely numerical dt inversion algorithm a j devaney and m dennison inverse probl 19 855 870 2003 that is independent of measurement system geometry number of frequencies used in the reconstruction and gf a planar multilayer gf has been developed for use in devaney s hilbert space algorithm and used in a proof of principle nondestructive evaluation nde experiment to image noninvasively a flaw in an aluminum copper planar multilayer medium using data collected from an ultrasonic measurement system the data were collected in a multistatic method with no beamforming all focusing through the multilayer was performed mathematically after the fact that is after the data were collected author,Physics
spores of bacillus subtilis were exposed to selected factors of space vacuum solar uv radiation heavy ions of cosmic radiation and their response was studied after recovery these investigations were supplemented by ground based studies under simulated space conditions the vacuum of space did not inactivate the spores however vacuum induced structural changes in the dna and probably in the proteins caused a supersensitivity to solar uv radiation this phenomenon is caused by the production of specific photoproducts in dna and protein which cannot be removed by normal cellular repair processes in vegetative bacterial cells exposed to vacuum cell dehydration led to damage of the cell membrane which could be partly repaired during subsequent incubation the high local effectiveness of the cosmic heavy ions further decreases the chance that spores can survive for any length of time in space nonetheless a spore travelling through space and protected from ultraviolet radiation could possibly survive an interplanetary journey such a situation favors panspermia as a possible explanation for the origin of life author,Physics
we show theoretically that the waves generated through the generic parametric three or four wave mixing processes exhibit as a general rule a hidden coherence characterized by skewed coherence lines along specific space time trajectories our study generalizes the concept of coherence in the sense that these previously unrecognized coherent states cannot be described through the standard definitions of spatial and temporal coherence author,Physics
the design and engineering of vehicles planned for man s exploration and travel in outer space are discussed in relation to hazards of various radiation sources the radiation to which man will be exposed includes primary and secondary cosmic radiation protons and electrons present in the inner and outer van allen belts and proton beams from solar flares the most serious ionizing radiation hazard in the space environment is due to solar proton flares here maximum use can be made of the vehicle design to reduce the extra weight of added shields prompt warnings of proton radiation from solar flares can be obtained by optical means and by detection of disturbances of radio communications however no reliable system is available to provide forecasts or predictions longer than a few days to warn of solar eruptions p c h author,Physics
a novel technique for multiplexing complex images is proposed in which each image may be demultiplexed only if a set of random encryption keys is known the technique utilizes the ability of the double random phase encoding method to spread a signals energy in both the space and the spatial frequency domains in a controlled manner to multiplex images are independently encrypted with different phase keys and then superimposed by recording sequentially on the same material each image is extracted by using the particular key associated with it during decryption the energy from the other images is further spread making it possible to minimize its effects by using suitable filters wigner analysis is applied to the technique and numerical results are presented author,Physics
much has been learned about the electromagnetic interaction between jupiter and its satellite io from in situ observations io in its motion through the io plasma torus at jupiter continuously generates an alfvn wing that carries two billion kilowatts of power into the jovian ionosphere concurrently io is acted upon by a j x b force tending to propel it out of the jovian system the energy source for these processes is the rotation of jupiter this unusual planet satellite coupling serves as an archetype for the interaction of a large moving conductor with a magnetized plasma a problem of general space and astrophysical interest author,Physics
optical configurations for performing holography with light of limited coherence are analyzed such configurations which may employ mirrors and gratings in preference to lenses and prisms are space invariant in that the optical pathlength of a ray between object and hologram recording planes depends only on its initial direction not on its location in the object plane holograms of arbitrary size made from object transparencies of arbitrary size and light of limited coherence author,Physics
the particles and energies commonly used for medium energy nuclear physics and heavy charged particle radiobiology and radiotherapy at particle accelerators are in the charge and energy range of greatest interest for space radiation health in this article we survey some of the particle accelerator facilities in the united states and around the world that are being used for space radiation health and related research and illustrate some of their capabilities with discussions of selected accelerator experiments applicable to the human exploration of space author,Physics
we propose possible new string theories based on local world sheet symmetries corresponding to extensions of the virasoro algebra by fractional spin currents they have critical central charges c 6 k 8 k 2 and minkowski space time dimensions d 2 16 k for k 2 an integer we present evidence for their existence by constructing modular invariant partition functions and the massless particle spectra the dimension 4 and 6 strings have space time supersymmetry string theories 1 are primarily characterized by the local symmetries of a twodimensional field theory on the string world sheet the local symmetries of the bosonic string are reparameterization and weyl invariance which lead to a critical string propagating in 26 flat space time dimensions the superstring enlarges the world sheet gauge invariance to include a local n 1 supersymmetry and reduces the critical space time dimension to 10 it is natural to try to construct string theories with smaller critical space time dimensions by changing the worldsheet symmetry unfortunately enlarging to a local n 2 supersymmetry produces a critical string in just two dimensional minkowski space it is well known however that fractionalspin fields can exist in two dimensional field theory one can imagine new local symmetries on the world sheet which involve fractional spin currents and which lead to string propagation in space times with dimensions less than 10 in this letter we will present evidence for the existence of such new string theories and in particular will show that strings with spin 4 3 and 6 5 currents on the world sheet can have interesting phenomenologies in 6 and 4 space time dimensions respectively the algebra of constraints resulting from gauge fixing the two dimensional local symmetry must contain the virasoro algebra in this letter we consider strings with author,Physics
an electrically controlled holographic switch is proposed as a building block for a free space optical interconnection network the switch is based on the voltage controlled photorefractive effect in kltn crystals at the paraelectric phase it is built of electrically controlled bragg gratings stored in the volume of the crystal a compact switch that connects four high speed fiber optic communication channels with high efficiency is demonstrated experimentally the switch performance is investigated and optimized this switch is extremely attractive for cascaded switching arrays such as those found in multistage interconnect networks author,Physics
a real space scheme based on density functional molecular dynamics is presented two issues are addressed one is the use of an,Physics
literature data and results of our own studies into an effect of micro and macro gravity on an external respiration function of man are presented it is found that in cosmonauts following the 7 366 day space missions there is an enhanced tendency associated with an increased flight duration toward a decrease in the lung volume and breathing mechanics parameters forced vital capacity of the lungs fvc by 5 25 percent peak inspiratory and expiratory air flows pif pef by 5 40 percent a decrease in fvc appears to be explained by a new balance of elastic forces of the lungs chest and abdomen occurring in microgravity as well as by an increased blood filling and pulmonary hydration a decline of pif and pef is probably resulted from antigravitational deconditioning of the respiratory muscles with which a postflight decreased physical performance can in part be associated the ventilation perfusion ratios during orthostasis and gz and gx accelerations are estimated the biophysical nature of developing the absorption atelectases on a combined exposure to accelerations and 100 oxygen breathing is confirmed a hypothesis that hypervolemia and pulmonary congestion can increase the tendency toward the development of atelectases in space in particular during pure oxygen breathing is suggested respiratory physiology problem area which is of interest for space medicine is defined author,Physics
in this article phase space constrained classical mechanics psccm a version of accelerated dynamics is suggested to speed up classical trajectory simulations of slow chemical processes the approach is based on introducing constraints which lock trajectories in the region of the phase space close to the dividing surface which separates reactants and products this results in substantial up to more than 2 orders of magnitude speeding up of the trajectory simulation actual microcanonical rates are calculated by introducing a correction factor equal to the fraction of the phase volume which is allowed by the constraints the constraints can be more complex than previously used boosting potentials the approach has its origin in intramolecular dynamics diffusion theory which shows that the majority of nonstatistical effects are localized near the transition state an excellent agreement with standard trajectory simulation at high energies and monte carlo transition state theory at low energies is demonstrated for the unimolecular dissociation of methyl nitrite proving that psccm works both in statistical and nonstatistical regimes author,Physics
this paper presents an investigation of electron density and electron temperature in a dust cloud subject to radiation which causes photoelectric emission of electrons the analysis is based on charge neutrality and number and energy balance of electrons appropriate expressions for the photoelectric emission and mean energy of emitted photoelectrons have been employed the parametric relationship corresponding to dust of stainless steel as an illustration in the near space environment with dominant lyman alpha 1215 7 a radiation in the extreme ultraviolet part of the spectrum has been investigated author,Physics
early space radiation shield code development relied on monte carlo methods and made important contributions to the space program monte carlo methods have resorted to restricted one dimensional problems leading to imperfect representation of appropriate boundary conditions even so intensive computational requirements resulted and shield evaluation was made near the end of the design process resolving shielding issues usually had a negative impact on the design improved spacecraft shield design requires early entry of radiation constraints into the design process to maximize performance and minimize costs as a result we have been investigating high speed computational procedures to allow shield analysis from the preliminary concept to the final design for the last few decades we have pursued deterministic solutions of the boltzmann equation allowing field mapping within the international space station iss in tens of minutes using standard finite element method fem geometry common to engineering design methods a single ray trace in such geometry requires 14 milliseconds and limits application of monte carlo methods to such engineering models a potential means of improving the monte carlo efficiency in coupling to spacecraft geometry is given author,Physics
the phase space representation of stationary random electromagnetic fields is developed by using electromagnetic spatial coherence wavelets the propagation of the field s power and states of spatial coherence and polarization results from correlations between the components of the field vectors at pairs of points in space polarization domains are theoretically predicted as the structure of the field polarization at the observation plane in addition the phase space representation provides a generalization of the poynting theorem theoretical predictions are examined by numerically simulating the young experiment with electromagnetic waves the experimental implementation of these results is a current subject of research author,Physics
